название,единица_измерения,цена
Ванночки для арматуры д20,шт,56.0
Ванночки для арматуры д22,шт,66.0
Ванночки для арматуры д25,шт,77.0
Ванночки для арматуры д28,шт,87.0
Ванночки для арматуры д32,шт,107.0
Катанка,,65.0
"Катанка 6,0",кг,65.0
"Катанка 6,5",кг,65.0
"Катанка 8,0",кг,65.0
Квадрат (Бишкек),,69.0
Квадрат 10 (Бишкек),м,43.0
Квадрат 12 (Бишкек),м,70.0
Квадрат 14 (Бишкек),м,69.0
Круг,,66.0
Круг № 10 А I,кг,68.0
Круг № 12 А I,кг,67.0
Круг № 14 А I,кг,66.0
Круг № 16 А I,кг,66.0
Круг № 18 А I,кг,66.0
Круг № 20 А I,кг,66.0
Круг № 22 А I,кг,66.0
Круг № 25 А I,кг,66.0
Круг № 30 А I,кг,66.0
Круг № 32 А I,кг,66.0
Прокат листовой,,3500.0
Жестяной Цех,,
Крепление желоба (группа),,
Отлив,,
Профиль,,
Лист горячекатанный,,3500.0
"Лист г/к   1,5х1000х2000",шт,1900.0
"Лист г/к   1,5х1250х2500",шт,3040.0
"Лист г/к   1,7х1250х2500",шт,3212.0
"Лист г/к   1,8х1000х2000",шт,2154.0
"Лист г/к   2,0х1000х2000",шт,2240.0
"Лист г/к   2,0х1250х2500",шт,3570.0
"Лист г/к   2,5х1000х2000",шт,2800.0
"Лист г/к   2,5х1250х2500",шт,4410.0
"Лист г/к   2,8х1000х2000",шт,3150.0
"Лист г/к   2,8х1250х2500",шт,4900.0
"Лист г/к   3,0х1000х2000",шт,3500.0
"Лист г/к   3,0х1250х2500",шт,5250.0
"Лист г/к   3,8х1250х2500",шт,6580.0
"Лист г/к   4,0х1000х2000",шт,4480.0
"Лист г/к   4,0х1250х2500",шт,7000.0
"Лист г/к   4,0х1500х6000",шт,21240.0
"Лист г/к   5,0х1500х6000",шт,25920.0
"Лист г/к   6,0х1500х6000",шт,31680.0
"Лист г/к   8,0х1500х6000",шт,41400.0
"Лист г/к 1,95х1250х2500",шт,3570.0
"Лист г/к 10,0х1500х6000",шт,52560.0
"Лист г/к 12,0х1500х6000",шт,61920.0
"Лист г/к 14,0х1500х6000",шт,75000.0
"Лист г/к 16,0х1500х6000",шт,85500.0
"Лист г/к 2,95х1000х2000",шт,3500.0
"Лист г/к 2,95х1250х2500",шт,5250.0
"Лист г/к 20,0х1500х6000",шт,116000.0
"Лист г/к 25,0х1500х6000",шт,151300.0
"Лист г/к 3,90х1250х2500",шт,7000.0
Лист Китай,,3264.0
Нержавеющий лист,,3264.0
"Нерж. лист 0,5х1000х2000 AISI 201",шт,3264.0
"Нерж. лист 0,7х1000х2000 AISI 201",шт,4488.0
"Нерж. лист 0,9х1000х2000 AISI 201",шт,5794.0
Лист оцинкованный,,
Лист оцинкованный      1х1250х2500,шт,2321.0
